,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every adverse,,,,,,,,,,,,,,,,,,,,,,,,
Omega 6,Nutritional Supplement,EFA,2.0,0.0,3%,7%,25%,26%,16%,0%,0%,0%,0%,59%,4%,1%,3%,0%,1%,0%,0%,0%,1%,3%,6%,0%,4%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
General Glutathione,Nutritional Supplement,Glutiathone-Related Treatments,1.7,0.1,3%,8%,10%,11%,19%,0%,0%,0%,6%,56%,5%,5%,8%,0%,5%,0%,0%,0%,2%,3%,16%,6%,3%,2%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%
Methylcobalamin,Nutritional Supplement,Glutiathone-Related Treatments,2.1,0.3,4%,7%,23%,35%,30%,0%,5%,1%,2%,36%,11%,5%,6%,8%,5%,1%,1%,4%,7%,4%,20%,2%,8%,0%,,4%,5%,0%,4%,0%,0%,0%,0%,0%,0%,2%,0%,5%,4%,0%,1%,0%,0%,0%,1%,4%,4%,1%,0%,0%
Methylcobalamin Injections,Nutritional Supplement,Glutiathone-Related Treatments,1.8,0.3,2%,7%,28%,30%,35%,2%,0%,0%,4%,31%,6%,9%,6%,7%,2%,0%,0%,4%,7%,0%,20%,4%,6%,2%,,6%,2%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,6%,9%,0%,0%,0%,2%,0%,0%,0%,4%,0%,0%,0%
Oral Glutathione,Nutritional Supplement,Glutiathone-Related Treatments,1.5,0.0,2%,5%,5%,12%,2%,0%,0%,0%,2%,43%,2%,2%,2%,0%,0%,0%,0%,5%,2%,0%,7%,2%,7%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Oral NAC,Nutritional Supplement,Glutiathone-Related Treatments,1.4,0.3,2%,8%,10%,16%,6%,0%,2%,0%,0%,45%,4%,0%,4%,0%,0%,0%,0%,2%,2%,0%,4%,0%,2%,0%,,4%,4%,0%,4%,0%,0%,0%,0%,0%,2%,2%,0%,2%,4%,0%,0%,0%,0%,0%,2%,2%,0%,0%,0%,0%
Transdermal Glutathione,Nutritional Supplement,Glutiathone-Related Treatments,1.1,0.2,0%,7%,11%,4%,0%,0%,0%,0%,0%,41%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%
Chromium,Nutritional Supplement,Individual Minerals,1.8,0.0,0%,0%,0%,11%,0%,0%,0%,0%,0%,53%,0%,0%,5%,11%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Calcium,Nutritional Supplement,Individual Minerals,1.7,0.1,3%,5%,2%,2%,1%,2%,2%,0%,4%,50%,3%,0%,3%,0%,1%,0%,0%,0%,1%,1%,2%,4%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,1%,0%,0%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
Iodine,Nutritional Supplement,Individual Minerals,1.5,0.2,0%,5%,0%,5%,0%,0%,0%,0%,5%,70%,0%,0%,0%,5%,0%,0%,0%,0%,5%,0%,0%,5%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Iron,Nutritional Supplement,Individual Minerals,1.9,0.3,3%,3%,1%,5%,1%,0%,1%,0%,7%,43%,7%,3%,3%,9%,1%,0%,0%,1%,3%,1%,1%,7%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%
Lithium,Nutritional Supplement,Individual Minerals,1.6,0.0,14%,24%,5%,14%,5%,0%,5%,0%,0%,38%,0%,5%,10%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Magnesium,Nutritional Supplement,Individual Minerals,1.9,0.1,11%,18%,7%,7%,3%,27%,5%,3%,12%,37%,5%,7%,14%,3%,4%,1%,0%,1%,3%,3%,4%,8%,1%,1%,,1%,0%,0%,1%,0%,0%,0%,0%,0%,2%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
Potassium,Nutritional Supplement,Individual Minerals,2.1,0.0,62%,0%,4%,0%,0%,0%,0%,0%,0%,15%,0%,15%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,4%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Selenium,Nutritional Supplement,Individual Minerals,1.3,0.0,0%,0%,0%,0%,0%,3%,0%,0%,3%,56%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Zinc,Nutritional Supplement,Individual Minerals,1.7,0.1,3%,3%,2%,4%,2%,1%,1%,2%,2%,47%,19%,2%,5%,1%,2%,0%,0%,0%,2%,4%,2%,2%,2%,2%,,2%,1%,0%,1%,0%,0%,1%,0%,0%,2%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%
Biotin,Nutritional Supplement,Individual Vitamins,1.4,0.0,3%,3%,0%,0%,0%,0%,0%,3%,3%,44%,3%,6%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,,3%,3%,0%,0%,0%,0%,3%,9%,3%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%
CoQ10,Nutritional Supplement,Individual Vitamins,1.6,0.0,3%,6%,7%,16%,3%,0%,0%,0%,0%,62%,7%,0%,3%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DMG,Nutritional Supplement,Individual Vitamins,1.2,0.2,4%,0%,7%,9%,11%,0%,0%,0%,0%,31%,7%,2%,9%,2%,0%,0%,0%,2%,2%,0%,7%,0%,2%,0%,,2%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,7%,7%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%
Folic Acid,Nutritional Supplement,Individual Vitamins,1.6,0.1,0%,8%,0%,0%,4%,0%,0%,0%,4%,60%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Folinic Acid, high dose",Nutritional Supplement,Individual Vitamins,2.2,0.3,10%,10%,29%,33%,24%,0%,5%,0%,5%,52%,0%,10%,14%,5%,5%,0%,5%,5%,5%,0%,19%,5%,5%,0%,,5%,10%,0%,0%,5%,5%,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%
"Folinic Acid, moderate dose",Nutritional Supplement,Individual Vitamins,1.8,0.2,0%,4%,8%,12%,20%,0%,0%,0%,0%,56%,4%,0%,4%,0%,0%,0%,4%,0%,0%,0%,16%,0%,0%,0%,,4%,4%,0%,4%,4%,0%,0%,0%,0%,0%,4%,4%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Inositol,Nutritional Supplement,Individual Vitamins,1.3,0.2,5%,14%,5%,5%,0%,0%,0%,0%,0%,14%,0%,5%,10%,0%,5%,0%,0%,0%,5%,0%,0%,0%,5%,0%,,5%,5%,0%,5%,0%,0%,0%,0%,0%,5%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%
PSP,Nutritional Supplement,Individual Vitamins,1.8,0.2,4%,20%,16%,12%,8%,0%,0%,0%,4%,40%,0%,4%,8%,4%,8%,0%,0%,0%,0%,0%,4%,4%,4%,0%,,4%,4%,0%,4%,0%,0%,0%,0%,0%,0%,4%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TMG,Nutritional Supplement,Individual Vitamins,1.0,0.3,0%,4%,4%,0%,29%,0%,0%,0%,0%,18%,4%,7%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,4%,4%,,7%,4%,0%,4%,0%,0%,0%,4%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin A (as cod liver oil),Nutritional Supplement,Individual Vitamins,1.6,0.1,0%,0%,6%,6%,3%,3%,0%,0%,0%,52%,10%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,3%,0%,,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin A (not as cod liver oil),Nutritional Supplement,Individual Vitamins,1.6,0.1,3%,0%,0%,3%,0%,0%,0%,0%,0%,59%,6%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,9%,3%,,3%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%
Vitamin B1,Nutritional Supplement,Individual Vitamins,1.5,0.1,0%,0%,3%,3%,3%,0%,0%,0%,3%,62%,6%,3%,3%,3%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin B2,Nutritional Supplement,Individual Vitamins,1.5,0.1,0%,0%,7%,7%,3%,0%,0%,0%,0%,59%,7%,3%,0%,3%,0%,0%,0%,0%,3%,3%,3%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin B3,Nutritional Supplement,Individual Vitamins,1.5,0.2,0%,8%,8%,8%,8%,0%,0%,0%,0%,62%,4%,8%,8%,0%,8%,0%,0%,0%,4%,0%,8%,0%,4%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin B5,Nutritional Supplement,Individual Vitamins,1.3,0.0,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Vitamin B6, medium dose",Nutritional Supplement,Individual Vitamins,1.3,0.1,5%,3%,13%,8%,0%,0%,0%,3%,0%,43%,0%,5%,8%,0%,3%,0%,0%,0%,3%,0%,5%,3%,3%,0%,,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin B12 (Injected),Nutritional Supplement,Individual Vitamins,1.8,0.3,2%,7%,11%,27%,24%,2%,0%,0%,4%,33%,4%,2%,2%,13%,2%,0%,0%,0%,9%,0%,13%,4%,7%,0%,,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,4%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%
Vitamin B12 (Oral),Nutritional Supplement,Individual Vitamins,1.5,0.1,1%,1%,9%,13%,4%,0%,3%,1%,1%,45%,9%,1%,1%,7%,0%,0%,0%,1%,3%,0%,6%,3%,1%,0%,,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
Vitamin C,Nutritional Supplement,Individual Vitamins,1.9,0.1,2%,3%,2%,3%,1%,12%,2%,1%,1%,57%,27%,1%,2%,1%,1%,0%,0%,0%,2%,1%,3%,1%,0%,0%,,1%,0%,0%,1%,0%,0%,0%,0%,0%,2%,1%,1%,0%,1%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin D,Nutritional Supplement,Individual Vitamins,1.9,0.0,2%,3%,5%,4%,2%,2%,6%,1%,1%,52%,18%,2%,3%,5%,1%,1%,0%,1%,4%,4%,4%,3%,1%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
Vitamin E,Nutritional Supplement,Individual Vitamins,1.6,0.0,5%,7%,10%,5%,7%,2%,2%,2%,0%,60%,14%,2%,2%,2%,2%,2%,0%,2%,2%,5%,5%,0%,2%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Vitamin K,Nutritional Supplement,Individual Vitamins,1.4,0.0,0%,0%,3%,0%,0%,0%,3%,0%,0%,48%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
High Dose MultiVitamin,Nutritional Supplement,MultiVitamins,1.9,0.2,9%,9%,9%,13%,13%,2%,4%,0%,4%,52%,26%,4%,9%,4%,4%,2%,0%,2%,7%,2%,13%,2%,2%,4%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%
High Dose MultiVitamin for Children/Adults with ASD,Nutritional Supplement,MultiVitamins,1.8,0.2,10%,14%,19%,21%,14%,5%,4%,4%,4%,50%,17%,8%,14%,7%,3%,1%,0%,4%,14%,2%,16%,4%,8%,3%,,1%,0%,1%,1%,1%,0%,0%,0%,0%,2%,2%,0%,3%,1%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%
Generic Child/Adult MultiVitamin,Nutritional Supplement,MultiVitamins,1.4,0.0,0%,0%,1%,2%,1%,0%,0%,0%,0%,55%,10%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Melatonin,Nutritional Supplement,Sleep Treatment ,2.1,0.3,2%,3%,1%,1%,1%,0%,0%,0%,74%,6%,1%,6%,3%,0%,0%,0%,0%,0%,1%,0%,1%,35%,1%,0%,,2%,2%,1%,2%,1%,0%,1%,0%,2%,1%,1%,1%,2%,2%,0%,0%,1%,0%,0%,1%,7%,1%,0%,0%,0%
Valerian Root,Nutritional Supplement,Sleep Treatment ,1.2,0.3,8%,5%,0%,0%,0%,0%,3%,0%,53%,8%,0%,5%,11%,0%,3%,0%,0%,0%,3%,0%,0%,29%,3%,0%,,5%,3%,0%,5%,0%,0%,0%,0%,5%,3%,0%,3%,0%,3%,0%,0%,3%,0%,0%,0%,3%,0%,0%,0%,0%
5-HTP,Nutritional Supplement,Sleep Treatment ,1.8,0.1,9%,11%,2%,2%,2%,0%,4%,0%,36%,27%,2%,0%,7%,2%,2%,0%,0%,0%,0%,0%,2%,27%,2%,0%,,4%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%,0%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%
GABA,Nutritional Supplement,Other,1.3,0.2,10%,26%,12%,10%,3%,0%,3%,0%,17%,25%,0%,9%,9%,1%,3%,0%,0%,0%,1%,0%,1%,12%,0%,0%,,6%,4%,1%,4%,1%,0%,0%,0%,0%,0%,1%,0%,1%,4%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
Fruit/Vegetable Powder Concentrate,Nutritional Supplement,Other,2.2,0.0,0%,0%,0%,0%,0%,24%,0%,5%,0%,67%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Milk Thistle,Nutritional Supplement,Other,1.5,0.0,4%,0%,0%,0%,0%,4%,0%,0%,0%,46%,4%,4%,7%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Carntine,Nutritional Supplement,Other,1.3,0.1,0%,0%,6%,9%,2%,4%,0%,0%,0%,43%,4%,0%,0%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Epsom Salt,Nutritional Supplement,Other,1.6,0.0,35%,10%,26%,5%,16%,4%,11%,3%,5%,22%,6%,4%,15%,4%,0%,4%,0%,0%,1%,2%,5%,12%,3%,4%,,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%
